qname,label
xn--eyts3n.xn--fiqs8,1
xn--vsqs1ip4z9vs.xn--fiqs8,1
xn--jor602n.xn--fiqs8,1
xn--6krv12dtgj5oh.xn--fiqs8,1
xn--chqz14b33sb3nuut.xn--fiqs8,1
xn--9prw58e.xn--fiqs8,1
xn--37qy65a4ie047c.xn--fiqs8,1
xn--nqv95a298as0u.xn--fiqs8,1
xn--rhtw4wc6a837g.xn--fiqs8,1
xn--dpqq25bltmh9m.xn--fiqs8,1
xn--9kro04bwkj.xn--fiqs8,1
xn--xyss25e.xn--fiqs8,1
xn--8uqu18cwyqewx.xn--fiqs8,1
xn--dpq82jit4bx2f.xn--fiqs8,1
xn--xkry6ffyan8a.xn--fiqs8,1
xn--pbt977cfqlvyl.xn--fiqs8,1
xn--1nq31f7ufp83f.xn--fiqs8,1
xn--fiqv1idbz92af4zcyv9zdup7bphaz68g.xn--fiqs8,1
xn--3xr991o.xn--fiqs8,1
xn--miqy8kqst1vv.xn--fiqs8,1
xn--owt49tjseb46a.xn--fiqs8,1
xn--1lquip4d4vcn2hyc925dhy2isge.xn--fiqs8,1
xn--fhqz97egmat49l.xn--fiqs8,1
dxc.xn--fiqs8,1
xn--pss230cs2tifc.xn--fiqs8,1
xn--jvrz2yuqf0qbry4dd14a.xn--fiqs8,1
xn--swt5zp6g123b.xn--fiqs8,1
xn--sxqx4yjojp3a.xn--fiqs8,1
xn--w9qu01anwb.xn--fiqs8,1
xn--vhqqb70qmrhwmv0e9anf7a.xn--fiqs8,1
xn--jmru7kpzcywc.xn--fiqs8,1
xn--d4tygq18m5ub.xn--fiqs8,1
xn--5brz63b.xn--fiqs8,1
xn--54qa460nmjo.xn--fiqs8,1
xn--0hv50k.xn--fiqs8,1
xn--jrx586dglk.xn--fiqs8,1
xn--kcrx91a4mf1q8c.xn--fiqs8,1
xn--xhqqyy8ft42g.xn--fiqs8,1
xn--omr301arnkmza.xn--fiqs8,1
xn--nqvr4ip10c.xn--fiqs8,1
xn--tfrz5ou3a369j.xn--fiqs8,1
xn--jvrr31fczfyl1a.xn--fiqs8,1
pullandbear.xn--fiqs8,1
xn--09st2hjis03i62p.xn--fiqs8,1
xn--3bsx83gl9ihhk.xn--fiqs8,1
xn--9iq19ertbnvvf680aq1fyod5bw3gkxxevnzp3dcl6ayy6c.xn--fiqs8,1
xn--ekrw8fhs0apuimjq0l1a.xn--fiqs8,1
xn--9kq82exxbgdz8ay05ftmxm1u202b.xn--fiqs8,1
xn--w9q82gj4ap16misa.xn--fiqs8,1
xn--jpqq3wwui.xn--fiqs8,1
xn--j1azv.xn--p1a,1
xn--b1ac6bh4c.xn--p1a,1
xn--80aaabuc9ae2b4a4l.xn--p1a,1
